,city,lat,lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,date
334,kaniama,-7.5667,24.1833,71.11,52,80,3.09,CD,1653947153
335,ulaangom,49.9811,92.0667,58.82,39,100,5.12,MN,1653947153
336,uarini,-2.99,-65.1083,75.97,96,89,2.35,BR,1653947154
337,along,28.1667,94.7667,70.59,97,24,1.34,IN,1653947154
338,bubaque,11.2833,-15.8333,79.3,80,100,20.33,GW,1653947154
339,joao pinheiro,-17.7425,-46.1725,68.25,45,0,1.79,BR,1653947155
340,harper,4.375,-7.7169,78.39,85,65,8.43,LR,1653947155
341,durban,-29.8579,31.0292,59.02,77,2,5.99,ZA,1653947155
342,sehithwa,-20.4667,22.7167,58.12,33,0,7.76,BW,1653947155
343,urumqi,43.801,87.6005,65.35,45,0,8.95,CN,1653947156
344,saint-alexandre,44.2278,4.6214,65.07,53,72,2.77,FR,1653947156
345,slave lake,55.2834,-114.769,57.18,47,0,10.36,CA,1653946974
346,mahdalynivka,48.921,34.9156,62.2,86,45,7.11,UA,1653947157
347,vardo,70.3705,31.1107,39.18,81,5,4.61,NO,1653947157
348,bathsheba,13.2167,-59.5167,84.81,65,20,16.11,BB,1653947157
349,lerwick,60.1545,-1.1494,50.0,86,15,8.55,GB,1653947103
350,yerbogachen,61.2767,108.0108,50.14,56,83,6.44,RU,1653947158
351,verkhnevilyuysk,63.4453,120.3167,43.18,93,100,8.05,RU,1653947158
352,abu zabad,12.35,29.25,85.03,19,37,1.9,SD,1653947158
353,romny,50.751,33.4747,58.1,97,100,6.91,UA,1653947158
354,sao borja,-28.6606,-56.0044,45.95,72,0,7.94,BR,1653947159
355,vryburg,-26.9566,24.7284,47.48,48,0,7.2,ZA,1653947159
356,imbituba,-28.24,-48.6703,61.86,92,100,5.99,BR,1653947160
357,taoudenni,22.6783,-3.9836,96.67,12,58,12.48,ML,1653947160
358,plettenberg bay,-34.0527,23.3716,55.65,61,93,12.48,ZA,1653947160
359,swan hill,-35.3378,143.5544,47.16,83,39,17.92,AU,1653947161
360,vestmannaeyjar,63.4427,-20.2734,50.4,88,99,6.55,IS,1653947161
361,jiaxing,30.7522,120.75,64.92,84,100,5.41,CN,1653946864
362,talaya,61.3833,152.75,44.71,78,100,5.95,RU,1653947162
363,iskateley,67.6803,53.1512,38.16,69,56,9.66,RU,1653947222
364,rocha,-34.4833,-54.3333,45.64,74,98,10.94,UY,1653947222
365,kloulklubed,7.0419,134.2556,73.9,74,98,2.95,PW,1653947223
366,macaiba,-5.8583,-35.3539,80.98,89,20,6.91,BR,1653947136
